;a;a;b;b;c;c;d;d;e;e
;a;c;a;c;a;c;a;c;a;c
A;9.18288523672;1.12426910321;0.71587481746;4.15452241096;20.0351778973;5.42028270911;9.76739530067;8.89795623555;2.92810745644;10.0711034105
B;49.7157412817;0.557379987363;28.5418719145;3.15053017964;30.7825214278;6.43796926849;49.8903329336;8.60354671999;27.0749911783;11.0483617
C;74.7181315937;2.13836916853;50.5207817109;2.50405129503;67.1480664683;7.28490625468;51.5609053654;9.87208146433;64.6173832189;10.7280215877
D;91.4602434491;1.23706408376;86.2615643185;2.93484270727;94.6010861985;7.15948991051;79.9774006787;9.96423257363;95.4639582993;11.455348471
E;123.710639532;1.71992919157;111.854600573;3.32969994812;102.113106959;5.53146245273;104.657439963;8.71552308822;103.079506478;12.496459217
F;127.574665718;0.307712590951;134.149596356;4.61957658057;130.717553914;5.54242010484;138.683168858;9.52426315456;149.333379058;11.5065532127
G;170.189195947;0.00648283908127;165.078597812;4.48600404381;169.596549402;5.66734047685;165.47146041;9.7210919172;168.990191686;10.2888923718
H;177.712266317;1.83281885418;182.156010559;2.6968118994;185.64206424;6.77249406956;182.429656325;7.55739013124;196.795636097;11.7171112242
I;213.581464307;1.33277625624;212.502255809;4.86087132769;201.769612653;6.41949957195;203.50659252;9.11628193009;220.852695905;11.8643258094
J;240.227442927;1.7154042354;234.672583846;3.49073939265;234.76263777;7.399178813;237.856758277;9.8860545371;227.352229388;11.0313242321
