;a;a;a;c;c;c;b;b;b;e;e;e;d;d;d
;A;C;marked(col,row);A;C;marked(col,row);A;C;marked(col,row);A;C;marked(col,row);A;C;marked(col,row)
A;2.0;0.133800152101;;2.0;0.0206004239963;;2.0;0.129862435481;;2.0;0.221719308022;;2.0;0.175512590686;
C;2.0;0.741736880661;;2.0;0.85570321861;;2.0;0.301817680087;;2.0;0.703785853813;;2.0;0.0693832268588;
B;2.0;0.131828020162;;2.0;0.811869955935;;2.0;0.50951567018;;2.0;0.0278133969145;;2.0;0.667266556109;
E;2.0;0.547082716781;;2.0;0.00329147747325;;2.0;0.086732199783;;2.0;0.146583113302;;2.0;0.989345021812;
D;2.0;0.881398419756;;2.0;0.250223541422;;2.0;0.290799390427;;2.0;0.460650130648;;2.0;0.13799491952;
G;2.0;0.168481378952;;2.0;0.128695050114;;2.0;0.175439211048;;2.0;0.7969363179;;2.0;0.285728464243;
F;2.0;0.826418595886;;2.0;0.0885230776553;;2.0;0.733043576321;;2.0;0.48164928588;;2.0;0.496864663588;
I;2.0;0.197361198511;;2.0;0.953875464016;;2.0;0.231571367414;;2.0;0.142762270604;;2.0;0.526427066046;
H;2.0;0.9548365492;;2.0;0.889847270732;;2.0;0.153350990141;;2.0;0.726700607077;;2.0;0.300114789878;
J;2.0;0.01471498666;;2.0;0.464207726243;;2.0;0.544375943683;;2.0;0.453115990343;;2.0;0.782676999018;
