;a;a;a;c;c;c;b;b;b;e;e;e;d;d;d
;A;C;marked(col,row);A;C;marked(col,row);A;C;marked(col,row);A;C;marked(col,row);A;C;marked(col,row)
A;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
C;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
B;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
E;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
D;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
G;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
F;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
I;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
H;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
J;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;;1.0;0.0;
