base;zero;pos;neg;half;feat;inter
7.75;5.03;9.14;-7.77;2.27;-0.85;-0.67
8.15;-1.92;7.46;-8.17;2.38;2.48;1.76
8.09;-2.21;9.18;-7.89;2.50;0.34;1.77
8.39;2.88;9.00;-9.97;2.49;-0.09;1.52
8.39;-4.72;9.17;-8.70;2.09;0.48;0.01
8.53;3.24;10.19;-8.04;2.25;0.10;3.18
8.19;-2.01;8.68;-7.90;2.61;-0.94;-0.55
8.52;0.04;6.33;-8.82;1.67;-0.69;-0.46
8.74;4.24;10.23;-8.72;2.33;3.98;2.94
8.66;-0.36;8.21;-8.04;2.94;0.52;0.11
8.93;0.04;8.92;-8.02;3.37;2.12;2.16
8.82;-3.15;9.62;-8.65;2.25;3.53;2.86
9.15;0.48;9.64;-9.54;2.21;1.93;0.24
9.39;-4.45;10.27;-9.72;2.36;5.34;3.73
9.18;3.98;10.35;-8.58;2.85;2.57;3.14
9.28;1.05;9.97;-9.50;2.27;1.90;2.06
9.37;2.12;10.83;-8.66;2.39;-2.81;-0.02
9.29;1.86;9.20;-8.94;3.55;1.28;3.09
9.60;-3.10;10.38;-10.66;2.67;0.63;0.77
9.34;-1.28;8.95;-9.07;3.94;4.04;2.07
9.90;-4.68;10.89;-11.71;2.58;5.12;3.82
9.58;2.77;9.24;-10.00;2.33;0.88;1.85
9.37;-3.50;9.77;-9.02;2.62;3.90;2.88
9.80;2.62;9.75;-10.43;2.55;5.62;4.00
9.47;-1.13;8.01;-9.64;2.08;2.78;5.76
9.74;-4.30;11.52;-9.67;2.90;2.64;3.90
9.78;6.37;9.83;-9.52;2.37;2.16;1.66
9.76;2.00;10.15;-10.04;2.91;3.62;-1.51
9.64;0.17;8.50;-9.20;2.90;3.60;3.37
9.71;3.40;9.40;-9.87;3.45;3.22;4.58
9.73;-8.78;8.81;-8.77;2.60;3.63;-1.01
9.63;-0.65;9.85;-8.67;4.52;5.81;4.41
9.75;5.09;9.85;-9.79;2.76;2.60;3.00
9.95;2.03;9.27;-10.60;3.54;2.39;6.88
9.80;-0.35;9.38;-10.25;3.07;3.84;5.55
9.86;1.74;9.63;-9.71;3.00;1.99;1.82
9.67;1.98;10.63;-9.18;2.72;5.07;-0.01
9.99;0.24;10.03;-9.27;3.73;5.25;4.55
9.82;1.41;8.68;-9.24;3.52;1.60;-3.21
9.92;-2.93;10.32;-9.15;3.03;1.47;2.40
9.62;-3.96;9.71;-10.53;2.17;6.06;3.85
9.60;3.94;10.85;-9.48;3.14;3.64;6.17
9.45;-0.79;9.36;-8.84;2.94;4.77;3.50
9.48;-2.61;9.24;-9.61;2.87;1.30;6.52
9.27;-1.36;8.43;-7.71;1.78;5.71;0.83
9.39;-0.29;9.48;-9.15;3.58;0.92;1.03
9.37;-8.89;8.92;-8.41;2.38;4.04;4.09
9.11;-2.79;8.69;-8.68;2.99;0.25;-3.41
9.11;5.10;10.02;-10.37;2.23;-3.13;-2.72
8.91;-2.25;10.11;-9.41;3.63;2.22;7.48
8.87;1.99;9.80;-8.30;2.68;5.15;4.30
8.91;-0.95;7.81;-9.71;2.67;2.27;4.91
9.06;5.40;9.10;-9.71;2.60;3.59;-1.80
8.72;-3.47;8.79;-10.03;3.03;3.91;0.73
8.76;1.94;8.07;-8.66;2.08;3.70;0.20
8.64;0.43;7.74;-8.58;2.38;1.86;-1.13
8.61;-5.21;6.49;-7.94;3.23;4.20;8.92
8.67;3.39;9.20;-9.16;1.96;5.29;0.68
8.47;-3.61;9.08;-9.19;2.60;4.22;5.48
8.02;-0.41;6.48;-8.06;2.20;1.90;-0.52
7.93;-0.27;8.36;-7.79;2.44;1.54;-1.46
7.92;1.54;7.65;-8.87;2.75;0.47;5.48
7.64;0.70;7.12;-7.21;1.87;5.37;10.23
7.89;-2.64;6.29;-6.33;1.32;1.61;2.06
7.59;-4.03;5.94;-7.80;3.29;3.80;3.58
7.37;-3.39;8.36;-7.76;1.56;1.80;4.99
7.50;7.43;7.43;-8.13;1.67;0.07;4.65
7.40;-0.25;6.82;-7.66;2.21;0.62;3.62
7.11;-1.53;6.16;-6.87;2.48;-3.10;-0.16
7.33;4.26;8.12;-7.57;1.72;2.17;7.10
6.93;2.16;8.04;-6.06;2.01;-0.32;-1.84
6.81;-2.92;6.32;-7.89;2.49;1.33;1.75
6.72;1.12;7.05;-7.26;2.32;0.21;-1.64
6.49;7.92;6.14;-5.25;1.34;-0.69;1.87
6.38;-1.94;6.82;-6.62;2.33;-0.64;0.91
6.10;0.60;4.52;-7.08;2.40;0.01;-0.85
6.28;-3.65;6.33;-5.60;2.18;-2.16;0.43
6.08;2.48;5.49;-5.62;2.11;-0.54;-3.36
5.93;0.27;7.44;-6.80;1.93;2.56;-1.83
6.10;-3.64;5.01;-5.74;2.00;0.46;4.07
5.53;-1.25;7.54;-4.92;2.32;0.38;3.40
5.76;-4.15;6.19;-6.88;1.23;2.48;-0.40
5.70;-3.07;5.86;-5.49;2.06;1.99;3.98
5.44;4.83;4.42;-4.84;1.34;0.78;-0.98
5.25;1.38;6.12;-5.71;1.84;-1.76;-4.90
5.32;-1.57;5.51;-4.22;0.49;1.23;-3.00
5.06;-2.05;5.59;-6.17;1.59;2.37;5.30
5.31;-1.22;4.30;-5.04;1.70;-3.34;6.29
5.21;4.08;4.79;-6.13;1.89;3.87;0.23
4.92;1.96;4.25;-3.86;1.57;-3.33;2.31
4.85;1.81;3.56;-5.11;1.02;-2.24;-7.11
4.70;0.70;5.03;-4.88;1.40;-5.22;-2.31
4.45;0.84;5.17;-4.64;1.61;-1.26;1.39
4.80;3.51;4.96;-5.41;0.58;-2.61;-4.11
4.54;3.84;4.34;-2.89;1.32;1.66;-0.31
4.25;5.11;3.57;-4.19;1.35;1.07;6.58
4.63;-1.72;2.96;-5.49;1.12;-1.73;1.80
4.39;0.88;5.36;-5.88;1.29;-2.76;-2.77
4.31;1.91;4.41;-4.04;1.17;-0.27;0.69
4.14;-0.81;3.33;-4.14;0.47;-1.20;-0.03
3.84;-0.35;2.89;-3.85;1.45;-4.11;-2.67
3.91;-1.55;3.37;-4.27;0.99;-0.79;-0.77
3.90;-0.60;4.16;-3.97;0.90;-5.34;-6.23
3.93;0.17;4.00;-4.04;1.55;-3.08;-2.02
3.67;6.10;3.45;-4.31;1.35;-2.41;-2.01
3.62;6.01;2.82;-4.02;0.60;-4.26;-4.22
3.60;0.50;5.19;-3.98;0.11;-3.97;3.26
3.65;-1.53;2.92;-3.61;0.70;-0.76;-0.83
3.88;-1.12;2.85;-5.07;1.01;1.39;4.16
3.69;2.49;3.23;-4.12;0.77;-0.88;3.10
3.09;0.44;2.72;-2.11;-0.11;-2.33;-1.14
3.48;0.89;3.83;-3.43;0.97;-1.44;-4.13
3.49;-2.95;3.51;-4.51;1.56;-1.09;-2.73
3.56;1.92;1.55;-3.76;1.57;-1.56;4.84
3.47;-1.52;3.67;-3.28;1.07;-4.77;-3.86
3.34;-0.46;3.07;-2.70;-0.08;-1.37;-3.64
3.08;5.08;3.06;-3.53;1.28;0.88;-6.26
3.00;-1.51;4.91;-2.77;1.49;-3.13;-4.58
2.84;1.39;2.70;-3.25;0.37;-1.65;-1.86
3.12;0.29;3.54;-2.87;1.21;-4.91;-0.32
3.12;4.91;4.29;-3.17;0.30;-2.35;-5.24
2.87;-1.72;3.69;-3.80;0.90;-3.89;-3.77
2.63;-0.31;2.25;-3.09;1.18;-3.02;-2.59
2.71;2.29;3.83;-2.87;1.17;-1.27;3.63
2.67;-1.68;1.96;-2.01;0.43;-3.97;-2.71
2.63;3.16;3.41;-2.21;0.23;-5.40;-7.17
2.66;3.76;2.25;-2.32;-0.58;-5.49;-5.07
2.73;0.11;2.38;-3.45;1.09;-2.88;1.94
2.49;4.83;2.07;-2.14;0.22;-0.29;-0.58
2.66;-4.76;4.13;-3.16;1.36;-1.23;4.24
2.66;1.52;3.56;-2.40;0.78;-1.59;4.61
2.66;4.08;1.94;-2.05;0.13;-3.40;-3.22
2.64;-4.02;2.60;-3.46;1.08;-0.38;0.85
2.40;1.30;2.66;-2.87;0.38;-1.38;0.97
2.62;-0.65;1.45;-4.06;0.76;-2.38;-1.53
2.94;2.67;3.39;-3.71;1.05;-1.70;-3.03
2.43;1.57;1.82;-3.66;0.49;-3.10;1.20
2.28;-2.28;2.49;-2.16;1.27;-0.30;3.77
2.03;-1.67;1.82;-2.97;0.78;-6.04;-6.61
2.22;-1.71;0.89;-2.06;0.27;-1.59;1.16
2.38;0.77;3.08;-1.89;0.41;0.63;0.63
2.23;-2.77;1.47;-1.21;-0.07;-0.91;-2.38
2.25;3.96;2.93;-3.79;0.79;-4.17;-1.40
2.16;-2.71;2.18;-2.94;1.14;-0.26;-3.14
2.32;-0.35;2.38;-3.02;0.27;-2.01;-2.45
2.41;-1.11;2.08;-2.20;0.46;0.68;0.15
2.08;1.18;2.89;-2.30;-0.05;-2.30;3.14
2.15;3.27;1.59;-1.55;0.57;-2.75;-1.07
2.23;1.97;2.50;-2.39;0.90;-4.41;-3.08
1.81;-0.59;3.40;-2.26;0.60;-2.98;-4.14
2.06;6.96;3.58;-1.50;0.40;-1.58;0.27
2.12;5.68;4.49;-2.73;1.11;-0.42;-3.32
1.92;-2.41;3.89;-2.24;1.14;-1.03;-4.04
2.30;1.48;3.35;-2.11;0.53;-1.36;-2.64
2.03;3.35;2.39;-1.66;0.77;0.33;-0.40
2.17;-3.53;1.75;-3.03;0.30;-3.68;-0.98
1.71;-4.26;1.34;-4.08;0.48;-0.49;1.40
1.99;-2.33;1.61;-1.68;-0.32;0.05;1.02
2.07;-2.45;2.43;-2.30;-0.11;0.72;-3.29
2.02;1.44;0.13;-1.62;1.24;0.60;1.82
1.93;0.72;2.04;-1.42;-0.22;0.96;1.35
1.97;-1.50;2.11;-2.69;-0.19;0.32;-2.59
1.78;1.89;2.37;-2.27;0.83;2.90;2.72
1.58;-1.89;3.31;-0.46;-0.43;-2.70;0.59
1.93;0.29;2.30;-1.50;-0.17;-0.13;1.14
1.56;2.50;2.63;-2.37;0.12;-3.26;-3.65
