base;zero;pos;neg
-0.08;-0.62;0.07;0.08
0.21;0.22;-0.04;-0.86
0.16;1.13;0.09;-0.81
0.25;0.16;0.05;-1.11
0.08;-0.15;-0.64;-0.30
0.72;2.04;0.09;-0.68
0.29;0.92;-1.28;0.05
0.32;0.51;2.92;0.14
0.53;0.19;-1.08;-0.59
0.71;1.12;1.97;-0.81
0.72;0.07;-3.34;-0.48
0.70;2.29;1.20;-2.86
0.75;-0.66;0.72;0.87
0.57;2.25;0.36;-0.85
0.76;1.01;1.51;-0.23
0.73;0.67;-0.79;-1.18
0.80;2.08;-3.87;-0.65
1.02;0.41;0.89;-1.01
1.04;-0.02;-1.16;-1.51
1.10;2.08;-3.90;-0.95
1.07;-0.37;1.79;-1.90
1.10;1.82;-5.03;-0.90
1.35;0.98;-1.17;-1.83
1.42;1.79;-0.12;-0.36
1.50;2.88;-1.90;-1.39
1.42;0.83;3.55;-2.17
1.55;2.47;0.91;-0.68
1.64;0.99;-0.49;-2.81
1.48;1.62;-1.78;-0.89
1.54;2.82;3.54;-1.82
1.64;1.88;-2.79;-2.67
1.91;2.24;1.96;-2.90
1.66;1.32;-1.78;-1.73
1.83;1.80;4.39;-1.35
1.64;0.87;-0.62;-0.91
1.88;1.69;1.58;-2.45
1.66;1.61;-3.23;-1.59
1.53;0.98;-0.60;-1.15
1.73;2.89;-1.87;-0.83
1.79;3.56;-2.21;-1.75
1.75;1.00;-2.84;-0.86
1.83;0.48;-2.03;-3.18
1.85;3.63;-4.59;-1.37
2.18;1.53;3.06;-1.62
2.21;3.09;-2.69;-2.72
2.21;1.19;-6.65;-1.14
2.42;0.89;-1.24;-2.57
2.37;1.61;1.98;-3.19
2.71;4.55;1.74;-2.64
2.32;1.27;-1.49;-2.55
2.16;3.74;-1.83;-2.73
2.51;2.11;-0.85;-2.43
2.24;0.23;0.83;-2.82
2.29;1.55;4.76;-2.74
2.49;5.22;-1.77;-4.48
2.52;1.28;7.70;-0.69
2.50;3.90;-0.80;-3.01
2.45;2.63;5.08;-3.43
2.43;3.85;-0.79;-1.67
2.55;1.32;-4.43;-1.63
2.33;2.22;-0.26;-1.40
2.24;2.16;4.99;-1.88
2.70;2.48;-3.36;-1.83
2.60;2.19;-5.14;-2.27
2.66;1.97;3.37;-2.75
2.57;4.45;1.16;-3.42
2.47;3.39;2.60;-2.00
2.53;1.96;0.38;-1.93
2.44;2.37;-5.14;-3.21
2.48;3.26;-2.03;-2.86
2.50;1.57;-0.71;-2.78
2.62;3.06;0.72;-2.82
2.50;3.32;0.33;-2.73
2.65;2.01;2.03;-2.84
2.54;1.18;3.01;-1.68
2.36;0.56;3.13;-3.07
2.57;0.93;-2.83;-2.10
2.56;3.20;2.94;-2.48
2.33;4.33;2.78;-3.17
2.53;1.64;-4.43;-3.42
2.63;4.07;0.06;-3.00
2.55;2.24;-1.86;-3.35
2.52;4.49;-2.32;-3.11
2.39;2.78;-0.16;-4.04
2.43;2.71;2.83;-3.11
2.63;3.28;-2.35;-3.92
2.58;2.18;-1.12;-3.66
2.54;3.04;-5.72;-2.13
2.57;1.32;-2.56;-2.21
2.24;1.84;3.10;-3.20
2.32;3.50;0.74;-1.90
2.60;3.10;-1.14;-3.08
2.61;4.32;-1.63;-4.69
2.17;1.58;-0.89;-2.16
2.31;1.92;-0.94;-0.70
2.55;2.11;-4.14;-1.97
2.57;1.88;-1.42;-4.55
2.55;1.60;6.19;-2.62
2.45;3.22;1.18;-2.85
2.34;3.61;-3.49;-1.93
2.18;1.99;1.59;-1.09
2.61;3.14;1.33;-1.59
2.31;1.70;-1.32;-3.78
2.44;1.76;1.41;-3.72
2.20;3.21;-2.17;-2.37
2.19;2.14;-7.98;-3.90
2.19;1.64;-1.85;-2.31
2.48;1.00;-2.04;-2.01
2.26;3.39;-7.68;-2.77
2.24;3.57;-3.17;-2.40
2.22;3.47;-1.41;-3.18
1.94;1.61;-0.80;-4.26
2.31;1.80;-1.27;-1.39
2.09;2.29;4.01;-1.84
2.10;2.39;4.69;-2.07
1.65;2.40;-2.04;0.75
2.05;2.19;0.86;-0.56
1.94;1.16;0.99;-2.22
2.03;0.90;-1.10;-3.95
1.90;3.01;-3.25;-1.73
1.77;2.29;3.70;-2.09
1.90;2.68;-4.74;-1.56
1.58;3.43;-2.38;-3.15
2.15;3.98;3.70;-1.39
2.04;2.69;-2.77;-3.77
1.87;2.62;2.85;-2.99
2.11;2.02;-2.18;-1.59
1.95;2.59;2.20;-3.88
1.82;1.36;-2.33;-1.39
1.89;2.12;-2.43;-0.44
1.46;1.30;-2.33;-1.99
1.88;1.55;-0.14;-0.96
1.86;0.18;-3.99;-1.62
1.53;2.12;1.29;-1.96
1.72;2.03;0.82;-2.19
1.68;1.22;1.35;-2.12
1.74;2.93;0.88;-2.10
1.64;0.29;-3.69;-1.26
1.35;3.18;-1.36;-1.39
1.77;2.77;-3.75;-2.43
1.53;2.10;2.08;-1.26
1.66;2.88;3.21;-1.86
1.54;3.36;-0.25;-1.83
1.41;0.28;3.14;-0.99
1.59;1.14;3.50;-1.94
1.27;1.46;-4.10;-1.74
1.18;-0.47;3.19;-0.66
1.37;3.21;-2.62;-0.66
1.41;0.16;6.22;-1.34
1.19;0.19;3.04;-0.74
1.74;1.92;5.54;-2.59
1.46;0.80;-3.49;-2.12
1.59;1.47;0.08;-2.36
1.36;0.11;-1.84;-0.66
1.51;-0.54;-1.14;-0.40
1.40;1.23;-1.24;-2.31
1.58;0.63;-1.48;0.08
1.69;1.96;-0.11;0.29
1.40;0.60;2.96;-3.64
1.30;1.31;-1.83;-1.02
1.46;2.78;-1.58;-1.29
1.47;2.49;-4.28;-0.99
1.10;0.77;3.67;0.09
1.38;1.41;5.66;-2.88
