;a;a;b;b;c;c;d;d;e;e
;e;e;b;b;d;d;a;a;c;c
;a;c;a;c;a;c;a;c;a;c
A;6.66647277511;0.148494104124;2.61021805469;0.207334221903;21.0720637923;1.71754035342;6.24081036458;2.33371307182;0.352592164858;1.8755121149
B;13.0249441758;1.53879195307;0.0738470588325;0.716272756523;3.95563644185;0.946255226782;18.0839406372;0.212818028076;21.516432778;2.18715616135
C;5.44711748319;2.29477917599;14.0649504228;1.23965422517;3.93451116406;1.89413738098;3.54087464633;0.803571394049;5.57042535145;0.625776003624
D;18.9919727392;0.797289449315;14.8859767109;0.488161488029;8.05188188265;0.884456922123;8.03208961034;0.0617421223642;5.29064006953;0.111294157308
E;16.6704914547;1.32190415616;23.1990819784;1.88736563467;5.52124487332;2.16453367608;16.0706350145;1.18670956192;15.8281319059;1.41572480627
F;17.0477795434;1.35711005172;19.7605200152;0.188859972461;2.55620477209;1.54615568236;0.970620287057;0.40402508785;16.4801849059;1.11873314532
G;4.72108797136;2.1937886204;16.5289877551;0.909686558762;23.6680459417;0.563444279913;11.0674069158;2.2555633252;6.11632546021;0.260965883317
H;24.9781448939;0.640649383838;6.11391281612;2.13490137871;6.1744757839;1.87583041867;19.2499456942;1.93685968521;6.97320852072;0.848703776563
I;11.8874342956;1.11283187318;20.4920227878;1.33864988863;0.350835614823;2.07545637721;10.3335364931;0.466456051874;13.1440448575;2.2106863652
J;4.95900338891;0.0838427833717;19.0485271355;0.26137522851;20.2463315698;0.684867446491;11.9417159026;1.0352098964;16.8823173747;1.47592378623
;a;c;a;c;a;c;a;c;a;c
A;6.66647277511;0.148494104124;2.61021805469;0.207334221903;21.0720637923;1.71754035342;6.24081036458;2.33371307182;0.352592164858;1.8755121149
C;13.0249441758;1.53879195307;0.0738470588325;0.716272756523;3.95563644185;0.946255226782;18.0839406372;0.212818028076;21.516432778;2.18715616135
D;5.44711748319;2.29477917599;14.0649504228;1.23965422517;3.93451116406;1.89413738098;3.54087464633;0.803571394049;5.57042535145;0.625776003624
G;18.9919727392;0.797289449315;14.8859767109;0.488161488029;8.05188188265;0.884456922123;8.03208961034;0.0617421223642;5.29064006953;0.111294157308
H;16.6704914547;1.32190415616;23.1990819784;1.88736563467;5.52124487332;2.16453367608;16.0706350145;1.18670956192;15.8281319059;1.41572480627
I;17.0477795434;1.35711005172;19.7605200152;0.188859972461;2.55620477209;1.54615568236;0.970620287057;0.40402508785;16.4801849059;1.11873314532
F;4.72108797136;2.1937886204;16.5289877551;0.909686558762;23.6680459417;0.563444279913;11.0674069158;2.2555633252;6.11632546021;0.260965883317
J;24.9781448939;0.640649383838;6.11391281612;2.13490137871;6.1744757839;1.87583041867;19.2499456942;1.93685968521;6.97320852072;0.848703776563
E;11.8874342956;1.11283187318;20.4920227878;1.33864988863;0.350835614823;2.07545637721;10.3335364931;0.466456051874;13.1440448575;2.2106863652
B;4.95900338891;0.0838427833717;19.0485271355;0.26137522851;20.2463315698;0.684867446491;11.9417159026;1.0352098964;16.8823173747;1.47592378623
